post_title,country,website,group_name,activity,activity_classified,used_fallback,published,discovered,screenshot,post_url
Dnc,,dnc,nova,Not Found,Not Found,True,2025-10-05 20:17:31.481362,2025-10-05 20:18:16.860888,https://images.ransomware.live/victims/482843c62caf5c7cf2db2673c0d97ee2.png,http://pifk3xu3vad6cuxsjll4qjomyaaaoyvnyqppro75pazadzctrrvpdnyd.onion/#
www.libertydentaltown.com,US,libertydentaltown.com,alphalocker,Healthcare,Healthcare and Medical,True,2025-10-05 20:39:00.200744,2025-10-05 20:39:18.213202,https://images.ransomware.live/victims/7b601270fda14d3d54d4912c27bff623.png,http://mydatae2d63il5oaxxangwnid5loq2qmtsol2ozr6vtb7yfm5ypzo6id.onion/blog_1-24
The Methodist Church of Southern Africa,ZA,methodist.org.za,beast,Not Found,Non-Profit Organizations,False,2025-10-02 00:00:00,2025-10-05 23:40:58.260230,https://images.ransomware.live/victims/9e7ab662dcb4b8346b607948d95d957f.png,http://beast6azu4f7fxjakiayhnssybibsgjnmy77a6duufqw5afjzfjhzuqd.onion/card/the_methodist_church_of_southern_africa
WELLSLANDSCAPING.COM,US,wellslandscaping.com,incransom,Consumer Services,Consumer Services,True,2025-10-06 01:14:00,2025-10-06 01:54:14.233993,https://images.ransomware.live/victims/2da666965d9e4e7658937d8373a2c710.png,http://incblog6qu4y4mm4zvw5nrmue6qbwtgjsxpw6b7ixzssu36tsajldoad.onion/blog/disclosures/68e2fbfcfa0b6f4bdfef8990
CHRIST Juweliere,DE,christ.de,worldleaks,Consumer Services,Consumer Services,True,2025-10-06 07:00:00,2025-10-06 07:33:55.010381,https://images.ransomware.live/victims/a75920e9d776c4b1bbcc07b127e92d69.png,https://worldleaksartrjm3c6vasllvgacbi5u3mgzkluehrzhk2jz4taufuid.onion/companies/9421068649
Field and Goldberg,,field and goldberg,akira,Not Found,Not Found,True,2025-10-06 00:00:00,2025-10-06 09:45:57.700383,,
Saskarc,CA,saskarc,akira,Manufacturing,Manufacturing Industry,True,2025-10-06 00:00:00,2025-10-06 09:46:01.436903,,
Natoli Engineering,US,natoli engineering,akira,Manufacturing,Manufacturing Industry,True,2025-10-06 00:00:00,2025-10-06 10:47:33.746273,,
Perennial,,perennialcable.com,beast,Not Found,Manufacturing Industry,False,2025-10-02 00:00:00,2025-10-06 10:48:53.803761,https://images.ransomware.live/victims/9cf6a91cbb95ced8ed65e802c664917a.png,http://beast6azu4f7fxjakiayhnssybibsgjnmy77a6duufqw5afjzfjhzuqd.onion/card/perennial
naturmaelk,DK,naturmaelk.dk,devman,Agriculture and Food Production,Agriculture and Food Industry,False,2025-10-06 12:50:42.135447,2025-10-06 12:51:16.010381,https://images.ransomware.live/victims/fa586cd4fec5b2044270aad44b80914f.png,http://devmanblggk7ddrtqj3tsocnayow3bwnozab2s4yhv4shpv6ueitjzid.onion#naturmaelkdk
Ludlow Construction,,ludlow construction,akira,Construction,Construction and Engineering,True,2025-10-06 00:00:00,2025-10-06 13:45:23.812715,,
Lipapromet,HR,lipapromet.hr,qilin,Not Found,Manufacturing Industry,False,2025-10-06 00:00:00,2025-10-06 14:18:29.294295,https://images.ransomware.live/victims/b47695286353287b83bdece9e1e032d4.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=2adb31b7-ee4b-3bd1-a40d-341665c8ded2
Mecklenburg County Public Schools,US,ww.mcpsweb.org,qilin,Education,Educational Services,True,2025-09-29 00:00:00,2025-10-06 15:11:54.499151,https://images.ransomware.live/victims/e8c7f2c3f513c0d270523ce8475eef12.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=561a75e9-c56f-391f-9bb4-7b9c6222d63a
Daily Printing,US,daily printing,akira,Manufacturing,Manufacturing Industry,True,2025-10-06 00:00:00,2025-10-06 15:46:36.549930,,
"Milliman Financial Risk Management LLC (Milliman, Inc. subsidiary)",US,"milliman financial risk management llc (milliman, inc. subsidiary)",akira,Financial Services,Financial Services,True,2025-10-06 00:00:00,2025-10-06 15:46:40.105639,,
Orion Engineering,,orion engineering,akira,Manufacturing,Manufacturing Industry,True,2025-10-06 00:00:00,2025-10-06 16:38:52.823897,,
ville-saintclaude.fr,FR,ville-saintclaude.fr,qilin,Not Found,Government,False,2025-10-03 00:00:00,2025-10-06 17:10:26.236689,https://images.ransomware.live/victims/3ac2b848501e69d21801070f4714de5c.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=284291e2-27b6-30ea-89a4-8fc54ce86bb8
www.landmarkmgtinc.com,US,landmarkmgtinc.com,qilin,Not Found,Real Estate Services,False,2025-09-19 00:00:00,2025-10-06 18:19:52.907657,https://images.ransomware.live/victims/f9519a886599138aadddb020a6be20ad.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=23840702-71fc-3bf0-8577-084967167c17
www.nurturecare.com/USA/192GB,,nurturecare.com/usa/192gb,kairos,Not Found,Not Found,True,2025-10-06 19:45:31.034278,2025-10-06 19:46:41.694301,https://images.ransomware.live/victims/5a3c5d34c07593ba5d38f58c2f5e6333.png,http://nerqnacjmdy3obvevyol7qhazkwkv57dwqvye5v46k5bcujtfa6sduad.onion/detail?code=www-nurturecare-com-usa-192gb
Law Offices of James Scott Farrin,US,farrin.com,sinobi,Business Services,Business Services,True,2025-10-06 19:35:01.792000,2025-10-06 20:14:16.821888,https://images.ransomware.live/victims/9ec0fc03d902d7f39f84d04ec05f6bbc.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e419e588b6823fa2601fc9
Rogue Valley Door,US,roguevalleydoor.com,sinobi,Manufacturing,Manufacturing Industry,False,2025-10-06 19:30:19.390000,2025-10-06 20:14:37.358009,https://images.ransomware.live/victims/ca31dcea80fe728aa2e6438b3f6987f6.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e418cb88b6823fa2601bd2
Dataforth,US,dataforth.com,play,Technology,Information Technology,True,2025-09-29 00:00:00,2025-10-06 21:19:31.875026,https://images.ransomware.live/victims/99d39c5927926540726edf1a45e70260.png,http://k7kg3jqxang3wh7hnmaiokchk7qoebupfgoik6rha6mjpzwupwtj25yd.onion/topic.php?id=M1NxKDIdX0AhUz
Statement of Establishment Of the Grassroots Resistance Front Of Right-Seekers – Handala,,statement of establishment of the grassroots resistance front of right-seekers – handala,handala,Not Found,Not Found,True,2025-10-07 06:50:55.863721,2025-10-07 06:51:31.009324,https://images.ransomware.live/victims/3f5fa11bfb627a3886641aac6b67a7ce.png,http://vmjfieomxhnfjba57sd6jjws2ogvowjgxhhfglsikqvvrnrajbmpxqqd.onion/?p=495
AutohausMalin,DE,dnb.com/business-directory/company-information.retail_trade.at.vorarlberg.html,chaos,Not Found,Not Found,True,2025-10-07 09:55:00.352890,2025-10-07 09:55:14.672748,https://images.ransomware.live/victims/eb2876f36714fab5c4bfe57ebb3c0876.png,http://hptqq2o2qjva7lcaaq67w36jihzivkaitkexorauw7b2yul2z6zozpqd.onion/post/pGpCNAgVLfsiTfksxCxvUwzKMWZyHwzd
Lautrec,CA,lautrec,akira,Not Found,Not Found,True,2025-10-07 00:00:00,2025-10-07 10:48:45.359015,,
Handala RedWanted,,handala redwanted,handala,Not Found,Not Found,True,2025-10-07 11:20:29.310615,2025-10-07 11:20:50.673299,https://images.ransomware.live/victims/05707d3a0b404ed0fb0ad98ac1187ae8.png,http://vmjfieomxhnfjba57sd6jjws2ogvowjgxhhfglsikqvvrnrajbmpxqqd.onion/?p=500
Harbor Diesel & Equipment,US,harbor diesel & equipment,akira,Manufacturing,Manufacturing Industry,True,2025-10-07 00:00:00,2025-10-07 13:16:50.024365,,
J Lorber,US,j lorber,akira,Manufacturing,Manufacturing Industry,True,2025-10-07 00:00:00,2025-10-07 13:16:54.209449,,
archway.com,US,archway.com,chaos,Technology,Business Services,False,2025-10-07 14:11:27.644518,2025-10-07 14:11:40.807366,https://images.ransomware.live/victims/5662fbb415feaf85c760499cad66277c.png,http://hptqq2o2qjva7lcaaq67w36jihzivkaitkexorauw7b2yul2z6zozpqd.onion/post/3CabmpqRnr57X6rPcMw5IBarWgyoHq9o
Massachusetts Bay Community College,US,massbay.edu,qilin,Education,Educational Services,False,2025-10-07 00:00:00,2025-10-07 14:40:06.172576,https://images.ransomware.live/victims/ac05ac1e47e84e635179b2c5c0ab7075.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=89dfbd8f-147b-321f-8a1b-5ae24f7317d8
"Asahi Group Holdings, Ltd.",JP,asahigroup-holdings.com,qilin,Agriculture and Food Production,Agriculture and Food Industry,False,2025-09-28 00:00:00,2025-10-07 14:40:26.158102,https://images.ransomware.live/victims/6fe3da3121408d73c59bfe0a76f2c27a.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=4ab58a1b-fb98-3cc1-8659-559c37b2388c
One law firm in Canada,CA,one law firm in canada,anubis,Business Services,Business Services,True,2025-10-07 15:18:34.023096,2025-10-07 15:18:59.055827,https://images.ransomware.live/victims/2fe4fc175a81b2f763b48f18a371e1ee.png,http://om6q4a6cyipxvt7ioudxt24cw4oqu4yodmqzl25mqd2hgllymrgu4aqd.onion/r/UmbXzoEIqfMKY0zjT8nOnUgJnDvMPklSyFdwF664YOHkNOH1eZFixqI1sufrEfpNdYo5wWA84odpSzzATx3JjhyVDJYU2JV
California Golf Club of San Francisco,US,calclub.org,qilin,Hospitality and Tourism,Tourism and Hospitality,False,2025-10-05 00:00:00,2025-10-07 15:49:52.904093,https://images.ransomware.live/victims/ec6e72002b642e811eb5687f8433dc26.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=cf57b4bd-4cb5-378d-9475-ad04c122446f
BCR Recouvrement,FR,bcr-recouvrement.com,qilin,Financial Services,Financial Services,True,2025-09-04 00:00:00,2025-10-07 15:50:33.793812,https://images.ransomware.live/victims/2b27f93feba9738859110cf92949f8fe.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=504f7c80-d28b-3521-8da9-e59da6947e5e
www.auto-bernhard.at,AT,auto-bernhard.at,qilin,Transportation/Logistics,Retail and Commerce,False,2025-09-30 00:00:00,2025-10-07 15:51:15.031734,https://images.ransomware.live/victims/f0b36dedbd31f2eeb5718d7ffa0e6c8e.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=6f97c566-b7b8-354c-8634-4ee175735ef7
JASCO Applied Sciences,CA,jasco applied sciences,rhysida,Technology,Information Technology,True,2025-10-07 16:40:28.967715,2025-10-07 16:40:31.280246,,
Kronospan,AT,kronospan,nova,Manufacturing,Manufacturing Industry,True,2025-10-07 18:46:27.694033,2025-10-07 18:47:02.589864,https://images.ransomware.live/victims/482843c62caf5c7cf2db2673c0d97ee2.png,http://pifk3xu3vad6cuxsjll4qjomyaaaoyvnyqppro75pazadzctrrvpdnyd.onion/#
indiesemi.com,US,indiesemi.com,chaos,Technology,Information Technology,False,2025-10-07 19:50:53.188903,2025-10-07 19:51:06.189793,https://images.ransomware.live/victims/55f767c9049b3281e2a43c3050d1eb3c.png,http://hptqq2o2qjva7lcaaq67w36jihzivkaitkexorauw7b2yul2z6zozpqd.onion/post/QHU4zM1ELStrkhq4mfE8vlydMRNGq4UF
ebaengineering.com,US,ebaengineering.com,chaos,Construction,Construction and Engineering,True,2025-10-07 21:20:28.210251,2025-10-07 21:20:41.907764,https://images.ransomware.live/victims/a8568de8571dc54c8af6af257bd30d22.png,http://hptqq2o2qjva7lcaaq67w36jihzivkaitkexorauw7b2yul2z6zozpqd.onion/post/OVsE8XTrZxDuO2GaH6AbnrdTxK2EUqM2
Allgäu Stern Hotel,DE,allgaeustern.de,dragonforce,Hospitality and Tourism,Tourism and Hospitality,True,2025-10-08 07:51:23.653602,2025-10-08 07:53:38.092921,https://images.ransomware.live/victims/8b614bf6979ce078fcbdfd1a3db1278a.png,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/blog/?post_uuid=6337b4a4-abc2-441b-95c7-83d99d6d3851
LC Informatique Sàrl,CH,lc-informatique.ch,dragonforce,Technology,Information Technology,False,2025-10-08 07:49:51.537419,2025-10-08 07:54:40.323182,https://images.ransomware.live/victims/b97ea346dfb4a222d5fdedda0c416b25.png,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/blog/?post_uuid=fa558b56-ed0a-4140-b1ef-7aee101fb9b8
Charter Industrial Supply,US,charter industrial supply,sarcoma,Manufacturing,Manufacturing Industry,True,2025-10-08 08:13:38.475703,2025-10-08 08:13:41.225274,,
Nor*************,CA,nor*************,kryptos,Not Found,Not Found,True,2025-10-08 08:15:28.320055,2025-10-08 08:15:29.393966,,
Har******,AU,har******,kryptos,Not Found,Not Found,True,2025-10-08 08:15:31.083914,2025-10-08 08:15:32.245302,,
Mea************,US,mea************,kryptos,Not Found,Not Found,True,2025-10-08 08:15:34.481560,2025-10-08 08:15:36.012217,,
Acuna Fombona (AFOM),ES,acuna-fombona.com,spacebears,Not Found,Healthcare and Medical,False,2025-10-02 00:00:00,2025-10-08 08:16:58.404253,https://images.ransomware.live/victims/e62b341fd9bd9c5071abd1bc92e706c9.png,http://5butbkrljkaorg5maepuca25oma7eiwo6a2rlhvkblb4v6mf3ki2ovid.onion/companies/93/acuna-fombona-afom
"Cofiex Asesoría de Empresas, S.L",ES,cofiex.es,dragonforce,Not Found,Business Services,False,2025-10-08 08:09:22.501422,2025-10-08 08:47:04.694925,https://images.ransomware.live/victims/7b23c0e7231cee27ca924d932129800c.png,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/blog/?post_uuid=a38c3739-ad34-40ae-b643-9672bb1e04f6
Grupo Serex,CR,gruposerex.com,dragonforce,Not Found,Logistics and Transportation,False,2025-10-08 07:56:48.412908,2025-10-08 08:48:17.592365,https://images.ransomware.live/victims/23e5fdf9d2eeb50e42643b3256949547.png,http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/blog/?post_uuid=11feeb2f-afc5-407c-80b7-ad90a4a8d1a1
Lux Actuaries & Consultants,AE,lux actuaries & consultants,medusa,Financial Services,Financial Services,True,2025-10-07 12:54:01,2025-10-08 09:08:08.505012,https://images.ransomware.live/victims/b7fef976f2dab3ac9abc607a5e1b7411.png,http://xfv4jzckytb4g3ckwemcny3ihv4i5p4lqzdpi624cxisu35my5fwi5qd.onion/detail?id=34d0c3c296655b42e3a066e916155fc4
Linxx Global Solutions,US,linxxglobal.com,payoutsking,Business Services,Business Services,False,2025-09-30 09:36:00,2025-10-08 11:17:08.868542,https://images.ransomware.live/victims/015189ee76fa73c997f9649fb2f7057a.png,https:/payoutsgn7cy6uliwevdqspncjpfxpmzgirwl2au65la7rfs5x3qnbqd.onion/post/grGKKcGyXjqmjUkpaJLI
Cerenade,US,cerenade,akira,Technology,Information Technology,True,2025-10-08 00:00:00,2025-10-08 11:44:38.708995,,
Chapter 13 Texas,US,chapter 13 texas,incransom,Not Found,Not Found,True,2025-10-08 10:00:00,2025-10-08 11:49:58.670414,https://images.ransomware.live/victims/f7c2e340d5707e3de2807b511380e3fe.png,http://incblog6qu4y4mm4zvw5nrmue6qbwtgjsxpw6b7ixzssu36tsajldoad.onion/blog/disclosures/68defd0dfa0b6f4bdfb76a48
DataStream Content Solutions,US,datastream content solutions,akira,Technology,Information Technology,True,2025-10-08 00:00:00,2025-10-08 12:39:02.744448,,
St Peter Law Offices,US,st peter law offices,akira,Business Services,Business Services,True,2025-10-08 00:00:00,2025-10-08 13:48:28.402261,,
Spectra Logic+DATA,US,spectralogic.com,qilin,Technology,Information Technology,True,2025-10-08 00:00:00,2025-10-08 14:19:47.588871,https://images.ransomware.live/victims/e33cad0a195f78bce031acc26c4e7849.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=911b1ed3-baf6-3f5b-ba52-041f4ab76b47
VIM Technologies,US,vim technologies,akira,Technology,Information Technology,True,2025-10-08 00:00:00,2025-10-08 14:43:39.236293,,
Hoyer Law Group,US,hoyer law group,akira,Not Found,Not Found,True,2025-10-08 00:00:00,2025-10-08 14:43:43.537723,,
Tecnomarket,,tecnomarket.com,sinobi,Not Found,Not Found,True,2025-10-08 14:36:28.786000,2025-10-08 15:20:02.026433,https://images.ransomware.live/victims/bd1e3202d0ac90d19aab6fcc58d9cb47.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e676ec88b6823fa26933a5
JB Brown & Sons,US,jb brown & sons,sinobi,Not Found,Not Found,True,2025-10-08 14:28:51.805000,2025-10-08 15:20:23.332087,https://images.ransomware.live/victims/ef5493af05def75c7c52c0da2a3ea382.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e6752388b6823fa2692c3e
Termotasajero,CO,termotasajero.com,sinobi,Energy,Energy and Utilities,True,2025-10-08 14:18:09.709000,2025-10-08 15:20:44.147941,https://images.ransomware.live/victims/129c450a8ccd235c9cf20179c2ae1891.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e672a188b6823fa2692061
St Catherine of Siena,,st catherine of siena,sinobi,Education,Educational Services,True,2025-10-08 14:15:22.014000,2025-10-08 15:21:02.685639,https://images.ransomware.live/victims/61c4a40ca2ceff9a4d785a18b3c34c6b.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e671fa88b6823fa2691dac
Telstra,AU,telstra,shinyhunters,Telecommunication,Telecommunications,True,2025-10-08 16:12:02.622701,2025-10-08 16:12:23.675543,https://images.ransomware.live/victims/1f0cadc81818afbe39befae80da9d722.png,http://shinypogk4jjniry5qi7247tznop6mxdrdte2k6pdu5cyo43vdzmrwid.onion/telstra.html
Bohlsen Restaurant Group,US,bohlsenrestaurantgroup.com,sinobi,Hospitality and Tourism,Tourism and Hospitality,True,2025-10-08 15:35:32.036000,2025-10-08 16:13:16.375177,https://images.ransomware.live/victims/1268c03df25aa1da41947aec3f36e6a8.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e684c488b6823fa2697650
Lashbrook,US,lashbrook.com,sinobi,Not Found,Information Technology,False,2025-10-08 15:31:55.262000,2025-10-08 16:13:34.969649,https://images.ransomware.live/victims/400eb59c6d4d638ff2462c5f5d11a04d.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e683eb88b6823fa269705d
Dakota Boys and Girls Ranch,US,dakotaranch.org,sinobi,Education,Non-Profit Organizations,False,2025-10-08 15:18:57.451000,2025-10-08 16:13:53.202819,https://images.ransomware.live/victims/0250df907063d9e21eb33a6f26649136.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e680e188b6823fa26963bf
Tibbetts Lumber,US,tibbettslumber.com,sinobi,Construction,Manufacturing Industry,False,2025-10-08 14:41:33.553000,2025-10-08 16:14:11.706132,https://images.ransomware.live/victims/ead18ab6e39cee7420ed635d950c3972.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e6781d88b6823fa2693877
Niess Agriculture,,niessagriculture.com,sinobi,Not Found,Not Found,True,2025-10-08 14:33:55.544000,2025-10-08 16:14:32.858824,https://images.ransomware.live/victims/b44f40a3db57e46e28314dd68594923d.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e6765388b6823fa269314b
Industrial Chemicals,GB,industrialchemicals.com,sinobi,Manufacturing,Manufacturing Industry,True,2025-10-08 14:24:28.735000,2025-10-08 16:14:50.956854,https://images.ransomware.live/victims/54416052cdfc2a06d15f89efbda32f05.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e6741c88b6823fa26927ce
Right at Home Care,US,rightathomecare.com,sinobi,Healthcare,Healthcare and Medical,True,2025-09-03 00:00:00,2025-10-08 16:15:08.776388,https://images.ransomware.live/victims/079cfd784ea8337838981f58e93719ec.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e6736388b6823fa269247a
IFPC Worldwide,US,ifpcworldwide.com,interlock,Not Found,Business Services,False,2025-10-08 16:57:18.301868,2025-10-08 16:57:31.913061,https://images.ransomware.live/victims/c16b664f9e9b873ec0ac1186552c3e7a.png,http://y3zfr23ubg7zvzdlo2incm55ro2ybtmzth67eklxpxo55aux2jiqpbid.onion/index.php?p=
cameronhodges.com,US,cameronhodges.com,qilin,Not Found,Legal Services,False,2025-10-07 00:00:00,2025-10-08 17:20:09.213101,https://images.ransomware.live/victims/b202a9acd687a0989e71619bd9ba6bcb.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=dbcf7c18-46f5-3ac8-abaf-669f91a7b6d3
D. Wilson Construction,US,dwilsonconstruction.com,sinobi,Construction,Construction and Engineering,False,2025-10-08 16:18:25.475000,2025-10-08 17:23:22.289241,https://images.ransomware.live/victims/c734a4039d48fd926a715a932a8e40ec.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e68ed188b6823fa269ab38
MTI America,US,mtiamerica.com,sinobi,Not Found,Healthcare and Medical,False,2025-10-08 16:15:54.890000,2025-10-08 17:23:45.195821,https://images.ransomware.live/victims/03a73c8226c6e7a44a38e51660d09c9a.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e68e3a88b6823fa269a6e1
Sun Fiber,,sunfiber.com,sinobi,Not Found,Not Found,True,2025-10-08 16:03:18.240000,2025-10-08 17:24:04.830728,https://images.ransomware.live/victims/328a6962d26913eef8f8b1c5ee052a38.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e68b4688b6823fa26994ef
Public Relations Society of America,US,prsa.org,sinobi,Business Services,Business Services,False,2025-10-08 15:39:59.636000,2025-10-08 17:24:23.077903,https://images.ransomware.live/victims/878b259dc109377eb3cf9807bc16e714.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e685cf88b6823fa2697aba
The Catered Affair,US,thecateredaffair.com,sinobi,Hospitality and Tourism,Tourism and Hospitality,False,2025-10-08 15:21:41.931000,2025-10-08 17:24:42.508903,https://images.ransomware.live/victims/9c2a52f052318ef74f33e725e1c484dd.png,http://sinobi6ftrg27d6g4sjdt65malds6cfptlnjyw52rskakqjda6uvb7yd.onion/leaks/68e6818588b6823fa26965b4
Shape Corp,US,shape corp,nova,Manufacturing,Manufacturing Industry,True,2025-10-08 19:08:08.974084,2025-10-08 19:08:52.633294,https://images.ransomware.live/victims/482843c62caf5c7cf2db2673c0d97ee2.png,http://pifk3xu3vad6cuxsjll4qjomyaaaoyvnyqppro75pazadzctrrvpdnyd.onion/#
"Chek Tan and Company, LLP",US,chektan.com,radar,Not Found,Business Services,False,2025-10-08 18:34:28,2025-10-08 19:10:17.101497,,
Personal Collection,PH,personalcollection.com.ph,thegentlemen,Consumer Services,Retail and Commerce,False,2025-10-09 04:20:29,2025-10-09 04:57:52.118065,https://images.ransomware.live/victims/8c47959c80ef37fb0095eb6ecb94c7a8.png,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion
ROXU,ES,gruporoxu.com/en,spacebears,Not Found,Not Found,True,2025-10-05 00:00:00,2025-10-09 06:55:54.716167,https://images.ransomware.live/victims/b260d7c0dcbcf9fbea3bd29a0496e488.png,http://5butbkrljkaorg5maepuca25oma7eiwo6a2rlhvkblb4v6mf3ki2ovid.onion/companies/94/roxu
Legal & Contingency,GB,legal & contingency,akira,Business Services,Business Services,True,2025-10-09 00:00:00,2025-10-09 12:41:57.526103,,
SG Ceresco,CA,sg ceresco,akira,Not Found,Not Found,True,2025-10-09 00:00:00,2025-10-09 12:42:02.441988,,
MBS Secure,US,ntiva.com,qilin,Technology,Information Technology,False,2025-10-09 00:00:00,2025-10-09 14:18:05.329879,https://images.ransomware.live/victims/e2f2be4e189a6a93a94a7dcadc91e665.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=40202b3d-7426-33bb-9804-b6f8855f97ed
Heritage Communities,US,heritage-communities.com,worldleaks,Not Found,Not Found,True,2025-09-04 00:00:00,2025-10-09 14:24:38.304069,https://images.ransomware.live/victims/8f350f2c8eb13e4af54edc40a5121581.png,https://worldleaksartrjm3c6vasllvgacbi5u3mgzkluehrzhk2jz4taufuid.onion/companies/5436588969
Northern Air Systems,US,northern air systems,akira,Manufacturing,Manufacturing Industry,True,2025-10-09 00:00:00,2025-10-09 14:45:49.621338,,
Midsun Group,US,midsungroup.com,qilin,Manufacturing,Manufacturing Industry,True,2025-10-09 00:00:00,2025-10-09 16:13:27.708120,https://images.ransomware.live/victims/813c79859e83594b9eb72fec2680b94d.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=17703593-d5f0-3e8a-a4b0-783f19d6afb0
Sdii Global,US,sdii global,rhysida,Not Found,Not Found,True,2025-10-09 16:15:29.429426,2025-10-09 16:15:31.954721,,
Elmer W. Davis,US,elmerdavis.com,play,Construction,Construction and Engineering,False,2025-10-01 00:00:00,2025-10-09 18:18:41.581148,https://images.ransomware.live/victims/843d0eafec3cccdfec4d059af2358106.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/index.php?page=1/topic.php?id=ZxdUSlMvUrr6CM
Accelerated,,acceleratedusa.net,play,Not Found,Logistics and Transportation,False,2025-10-01 00:00:00,2025-10-09 18:19:24.832594,https://images.ransomware.live/victims/096bdb2a505431dfa9b8e4a24067ef24.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/index.php?page=1/topic.php?id=4tCgfb4owfQ8G
www.ucisd.net,US,ucisd.net,qilin,Education,Educational Services,True,2025-09-12 00:00:00,2025-10-09 22:46:30.287507,https://images.ransomware.live/victims/0dbf10086750b4fd6b05caa11dc5209b.png,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=bf3ffe79-8ab7-38c6-8d7d-247d60fbff90
